APL,thickness,bending,tilt,zorder,compress,sterol.present,tails,sterol.conc
0.608025,0.389735,0.091555,0.042907,0.238965,0.047368,yes,PO,20
0.555308,0.421588,0.100515,0.055627,0.261738,0.052569,yes,PO,20
0.574549,0.410539,0.096033,0.050382,0.253107,0.050896,yes,PO,20
0.595685,0.39574,0.093571,0.044888,0.243872,0.049083,yes,PO,20
0.582328,0.403764,0.095552,0.048363,0.249387,0.049263,yes,PO,20
0.56032,0.400927,0.106367,0.054442,0.274841,0.062899,yes,PO,20
0.57942,0.387687,0.103348,0.050504,0.262898,0.06193,yes,PO,20
0.55143,0.408714,0.107078,0.057499,0.278504,0.065644,yes,PO,20
0.48967,0.468574,0.119427,0.073887,0.319342,0.074018,yes,PO,20
0.514421,0.446553,0.112303,0.065718,0.301983,0.073047,yes,PO,20
0.535186,0.424345,0.110057,0.060478,0.289514,0.068415,yes,PO,20
0.521433,0.434578,0.112529,0.064759,0.297771,0.069624,yes,PO,20
0.401788,0.588071,0.208002,0.135336,0.477762,0.076353,yes,DP,20
0.403952,0.58532,0.208856,0.132717,0.475508,0.074582,yes,DP,20
0.413116,0.574629,0.201565,0.127334,0.462781,0.070026,yes,DP,20
0.413783,0.572135,0.200392,0.125582,0.462373,0.067912,yes,DP,20
0.44271,0.539403,0.184374,0.111329,0.428697,0.061666,yes,DP,20
0.445411,0.537089,0.182973,0.107218,0.424486,0.061484,yes,DP,20
0.383185,0.607785,0.224068,0.151992,0.505464,0.084884,yes,DP,20
0.384126,0.609227,0.223326,0.147801,0.502176,0.082971,yes,DP,20
0.362532,0.632617,0.244523,0.167759,0.536401,0.093244,yes,DP,20
0.364011,0.634403,0.24507,0.170534,0.534536,0.08865,yes,DP,20
0.219421,0.815819,0.529344,0.537868,0.833307,0.005801,yes,DP,20
0.248452,0.785345,0.441739,0.54598,0.771253,0.004929,yes,DP,20
0.353193,0.643993,0.252872,0.183777,0.549313,0.097368,yes,DP,20
0.352916,0.645377,0.254196,0.182445,0.550585,0.093125,yes,DP,20
0.519054,0.479937,0.135204,0.075164,0.342544,0.040167,yes,DP,20
0.52835,0.473162,0.132371,0.071895,0.335762,0.039119,yes,DP,20
0.554369,0.44064,0.125943,0.063831,0.315034,0.038156,yes,DP,20
0.49937,0.499208,0.142063,0.083248,0.359044,0.046251,yes,DP,20
0.479195,0.517428,0.151413,0.089218,0.376838,0.049883,yes,DP,20
0.439802,0.560075,0.16854,0.109245,0.417345,0.058549,yes,DP,20
0.469327,0.528795,0.153926,0.092433,0.386546,0.051145,yes,DP,20
0.699952,0.256375,0.081743,0.030947,0.174992,0.047255,yes,DO,20
0.649417,0.298748,0.082495,0.037792,0.190148,0.051168,yes,DO,20
0.631098,0.315298,0.083751,0.039834,0.195845,0.051093,yes,DO,20
0.667234,0.284297,0.081226,0.035547,0.183259,0.049665,yes,DO,20
0.623512,0.323416,0.085457,0.040023,0.197933,0.053995,yes,DO,20
0.591077,0.349199,0.087503,0.046687,0.210374,0.050874,yes,DO,20
0.677396,0.275256,0.080462,0.034206,0.181963,0.0498,yes,DO,20
0.866623,0.107586,0.057991,0.01352,0.026446,0.023999,yes,DI,20
0.901938,0.083668,0.058736,0.011749,0.022512,0.024407,yes,DI,20
0.732017,0.212543,0.060341,0.02099,0.041087,0.021957,yes,DI,20
0.824768,0.139288,0.058679,0.015485,0.031328,0.023348,yes,DI,20
0.853032,0.117739,0.058387,0.014131,0.029038,0.024794,yes,DI,20
0.778458,0.174434,0.057467,0.018685,0.036986,0.022717,yes,DI,20
0.795193,0.15848,0.057928,0.017104,0.035211,0.022852,yes,DI,20
0.538383,0.428214,0.111421,0.060455,0.289051,0.073202,yes,PO,20
0.556252,0.420254,0.108412,0.055336,0.278692,0.068505,yes,PO,20
0.533904,0.433745,0.110933,0.061421,0.292482,0.076652,yes,PO,20
0.476657,0.478344,0.125582,0.079473,0.331388,0.083178,yes,PO,20
0.498995,0.462934,0.117904,0.071929,0.315565,0.081582,yes,PO,20
0.51966,0.445088,0.114931,0.064638,0.301105,0.074762,yes,PO,20
0.504992,0.457233,0.118184,0.071074,0.310611,0.076801,yes,PO,20
0.884795,0.090813,0.056773,0.012519,0.023478,0.022349,yes,DI,20
0.922215,0.06463,0.05684,0.010744,0.019792,0.021614,yes,DI,20
0.742608,0.202747,0.057967,0.019187,0.036086,0.018952,yes,DI,20
0.837168,0.126549,0.056663,0.013919,0.029382,0.01983,yes,DI,20
0.869188,0.101745,0.057185,0.012453,0.025222,0.022243,yes,DI,20
0.786636,0.162857,0.057445,0.016229,0.033101,0.018705,yes,DI,20
0.805729,0.147558,0.056581,0.015379,0.030162,0.020573,yes,DI,20
0.657371,0.305033,0.084773,0.036396,0.193029,0.059325,yes,DO,20
0.617615,0.33612,0.086521,0.043209,0.205915,0.060825,yes,DO,20
0.601493,0.349972,0.089611,0.045336,0.212576,0.06311,yes,DO,20
0.63203,0.325348,0.086356,0.040304,0.200519,0.062903,yes,DO,20
0.597227,0.354455,0.08843,0.04562,0.213296,0.063426,yes,DO,20
0.568906,0.372049,0.09167,0.051116,0.226454,0.062249,yes,DO,20
